,第１位,,第２位,,第３位,,第４位,,第５位,,第６位,,第７位,,第８位,,第９位,,第１０位,
1899,肺炎及び気管支炎,206.1,脳血管疾患,170.5,全結核,155.7,胃腸炎,149.7,老衰,127.2,　, ,　, ,　, ,　, ,　, 
1900,肺炎及び気管支炎,226.1,全結核,163.7,脳血管疾患,159.2,胃腸炎,133.8,老衰,131,　, ,　, ,　, ,　, ,　, 
1905,肺炎及び気管支炎,247.4,全結核,206,脳血管疾患,163.4,老衰,139.9,胃腸炎,137.2,　, ,　, ,　, ,　, ,　, 
1910,肺炎及び気管支炎,262,全結核,230.2,胃腸炎,213.4,脳血管疾患,131.9,老衰,120.2,　, ,　, ,　, ,　, ,　, 
1915,肺炎及び気管支炎,261.1,胃腸炎,223.7,全結核,219.7,脳血管疾患,128.8,老衰,112.5,　, ,　, ,　, ,　, ,　, 
1920,肺炎及び気管支炎,408,胃腸炎,254.2,全結核,223.7,インフルエンザ,193.7,脳血管疾患,157.6,　, ,　, ,　, ,　, ,　, 
1925,肺炎及び気管支炎,275.6,胃腸炎,238.2,全結核,194.1,脳血管疾患,161.2,老衰,117.3,　, ,　, ,　, ,　, ,　, 
1930,胃腸炎,221.4,肺炎及び気管支炎,200.1,全結核,185.6,脳血管疾患,162.8,老衰,118.8,　, ,　, ,　, ,　, ,　, 
1935,全結核,190.8,肺炎及び気管支炎,186.7,胃腸炎,173.2,脳血管疾患,165.4,老衰,114,　, ,　, ,　, ,　, ,　, 
1940,全結核,212.9,肺炎及び気管支炎,185.8,脳血管疾患,177.7,胃腸炎,159.2,老衰,124.5,　, ,　, ,　, ,　, ,　, 
1947,全結核,187.2,肺炎及び気管支炎,174.8,胃腸炎,136.8,脳血管疾患,129.4,老衰,100.3,　, ,　, ,　, ,　, ,　, 
1948,全結核,179.9,脳血管疾患,117.9,胃腸炎,109.9,肺炎及び気管支炎,98.6,老衰,79.5,　, ,　, ,　, ,　, ,　, 
1949,全結核,168.9,脳血管疾患,122.6,肺炎及び気管支炎,100,胃腸炎,92.6,老衰,80.2,　, ,　, ,　, ,　, ,　, 
1950,全結核,146.4,脳血管疾患,127.1,肺炎及び気管支炎,93.2,胃腸炎,82.4,悪性新生物,77.4,老衰,70.2,心疾患,64.2,その他の新生児固有の疾患,62.2,不慮の事故,39.5,腎炎及びネフローゼ,32.4
